"Hurghada:",,"compound",,,,,,,,,,,,,,,
"GoogleMapsURL","Name","Phone","Rating","ReviewsCount","Website","Address","VisibleCategory","Category"
"https://www.google.com/maps/place/Pickalbatros+Aqua+Vista+Resort+-+Hurghada/data=!4m10!3m9!1s0x1452817a481ef993:0xc522046cd8e398db!5m2!4m1!1i2!8m2!3d27.1254727!4d33.822244!16s%2Fg%2F1tdqwq66!19sChIJk_keSHqBUhQR25jj2GwEIsU?authuser=0&hl=en&rclk=1","Pickalbatros Aqua Vista Resort - Hurghada","0653464801","10","4.8","https://www.pickalbatros.com/hotels-resorts/aqua-vista-resort/"," Villages Road, Hurghada 1, Red Sea Governorate 84511 ","N/A","resort"
"https://www.google.com/maps/place/Tiba+Golden+Resort+Hurghada/data=!4m10!3m9!1s0x14528756c3efec0b:0xea4aeffd0d6254b5!5m2!4m1!1i2!8m2!3d27.2425656!4d33.8382679!16s%2Fg%2F11fvc80fq_!19sChIJC-zvw1aHUhQRtVRiDf3vSuo?authuser=0&hl=en&rclk=1","Tiba Golden Resort Hurghada","01029992991","62","4.0","https://www.redseaway.co/"," Hurghada 2, Red Sea Governorate 84517 ","N/A","resort"
"https://www.google.com/maps/place/Beach+Albatros+Resort/data=!4m10!3m9!1s0x1452804591ede1a7:0x61da4c4ebf81ae48!5m2!4m1!1i2!8m2!3d27.1221923!4d33.8292083!16s%2Fg%2F1tdktzhb!19sChIJp-HtkUWAUhQRSK6Bv05M2mE?authuser=0&hl=en&rclk=1","Beach Albatros Resort","0653464001","12","4.7","https://pickalbatros.com/hotels-resorts/beach-albatros-resort/"," 16 Hurghada - Safaga Rd, Hurghada 1, Red Sea Governorate 1962215 ","N/A","resort"
"https://www.google.com/maps/place/Sindbad+Club/data=!4m10!3m9!1s0x145287252feb5475:0x88eb75979463ff3d!5m2!4m1!1i2!8m2!3d27.1901214!4d33.8307472!16s%2Fg%2F1tfhwwn1!19sChIJdVTrLyWHUhQRPf9jlJd164g?authuser=0&hl=en&rclk=1","Sindbad Club","0653404228","12","4.6","https://sindbadclub.com/"," 1 Mohamed Said St, Touristic Villages, Hurghada 1, Red Sea Governorate 84511 ","N/A","resort"
"https://www.google.com/maps/place/Giftun+Azur+Resort/data=!4m10!3m9!1s0x145287316f43042d:0x59fc309bdb71dc48!5m2!4m1!1i2!8m2!3d27.1851532!4d33.8268876!16s%2Fg%2F1tf928v8!19sChIJLQRDbzGHUhQRSNxx25sw_Fk?authuser=0&hl=en&rclk=1","Giftun Azur Resort","01001712001","7","4.3","https://www.azurhospitality.com/"," Youssef Affifi Rd, Touristic Villages, Hurghada 1, Red Sea Governorate 1962804 ","N/A","resort"
"https://www.google.com/maps/place/Hurghada+Long+Beach+Resort/data=!4m10!3m9!1s0x144d7e23fcc5f61f:0x9922a751900f1d57!5m2!4m1!1i2!8m2!3d27.0818239!4d33.858488!16s%2Fg%2F12vrdg1x7!19sChIJH_bF_CN-TRQRVx0PkFGnIpk?authuser=0&hl=en&rclk=1","Hurghada Long Beach Resort","0653461500","12","4.2","https://hurghada-longbeach.com/"," Sahl Hashish Rd, Hurghada 1, Red Sea Governorate 84511 ","N/A","resort"
"https://www.google.com/maps/place/Pickalbatros+Aqua+Park+Resort+-+Hurghada/data=!4m10!3m9!1s0x145281c3268d004d:0xf42595203c61533c!5m2!4m1!1i2!8m2!3d27.1229928!4d33.8227647!16s%2Fg%2F11c54wnh6d!19sChIJTQCNJsOBUhQRPFNhPCCVJfQ?authuser=0&hl=en&rclk=1","Pickalbatros Aqua Park Resort - Hurghada","0653464801","11","4.7","https://www.pickalbatros.com/hotels-resorts/albatros-aqua-park-resort/"," Villages Road, Hurghada 1, Red Sea Governorate 84511 ","N/A","resort"
"https://www.google.com/maps/place/Imperial+Resort+Hurghada/data=!4m10!3m9!1s0x145265226c163369:0xf5d31b0998a94baa!5m2!4m1!1i2!8m2!3d27.3282122!4d33.693445!16s%2Fg%2F11frldwkqm!19sChIJaTMWbCJlUhQRqkupmAkb0_U?authuser=0&hl=en&rclk=1","Imperial Resort Hurghada","01011141158","148","4.5","https://imperialresorthurghada.com/"," Al Ahyaa, Hurghada 2, Red Sea Governorate 1982311 ","N/A","resort"
"https://www.google.com/maps/place/Regina+Resort+%26+Aqua+Park/data=!4m10!3m9!1s0x145287521dde15fd:0x4505cab1148ce18c!5m2!4m1!1i2!8m2!3d27.2198577!4d33.8379527!16s%2Fg%2F11g8v3xtrj!19sChIJ_RXeHVKHUhQRjOGMFLHKBUU?authuser=0&hl=en&rclk=1","Regina Resort & Aqua Park","0653442272","5","3.7","N/A"," Sheraton Rd, Hurghada 1, Red Sea Governorate 1964806 ","N/A","resort"
"https://www.google.com/maps/place/Hilton+Hurghada+Plaza/data=!4m10!3m9!1s0x14528193a74a2a35:0x10ac3fd65217e28!5m2!4m1!1i2!8m2!3d27.256716!4d33.8305494!16s%2Fg%2F113dk17pn!19sChIJNSpKp5OBUhQRKH4hZf3DCgE?authuser=0&hl=en&rclk=1","Hilton Hurghada Plaza","0653615755","5","4.5","https://www.hilton.com/en/hotels/hrghitw-hilton-hurghada-plaza/?SEO_id=GMB-EMEA-TW-HRGHITW"," Gabal El Hareem Street, Hurghada 2, Red Sea Governorate 84511 ","N/A","resort"
"https://www.google.com/maps/place/King+Tut+Aqua+Park+Beach+Resort+Hurghada/data=!4m10!3m9!1s0x145287d14622e537:0xb9e60a12299c26ef!5m2!4m1!1i2!8m2!3d27.2533789!4d33.8342824!16s%2Fg%2F1tj2qmz5!19sChIJN-UiRtGHUhQR7yacKRIK5rk?authuser=0&hl=en&rclk=1","King Tut Aqua Park Beach Resort Hurghada","01002599022","3","3.9","N/A"," Hurghada 2, Red Sea Governorate 84515 ","N/A","resort"
"https://www.google.com/maps/place/Pickalbatros+Dana+Beach+Resort+-+Hurghada/data=!4m10!3m9!1s0x1452802857c9238f:0x146fb41d9724015e!5m2!4m1!1i2!8m2!3d27.0967638!4d33.8321727!16s%2Fg%2F11c1pgl3c7!19sChIJjyPJVyiAUhQRXgEklx20bxQ?authuser=0&hl=en&rclk=1","Pickalbatros Dana Beach Resort - Hurghada","0653460401","11","4.6","https://www.pickalbatros.com/hotels-resorts/dana-beach-resort/"," Villages Road, Hurghada 1, Red Sea Governorate 84511 ","N/A","resort"
"https://www.google.com/maps/place/Selena+Bay+Resort/data=!4m10!3m9!1s0x145263610949bcfd:0x971169bf11cbdd99!5m2!4m1!1i2!8m2!3d27.3171077!4d33.7111811!16s%2Fg%2F11cp7r4z_z!19sChIJ_bxJCWFjUhQRmd3LEb9pEZc?authuser=0&hl=en&rclk=1","Selena Bay Resort","N/A","366","4.3","http://www.selenabay.com/"," Selena Bay Resort Coastal Road, Red Sea Governorate 84517 ","N/A","resort"
"https://www.google.com/maps/place/Zen+Resort+by+TBH+Hotels/data=!4m10!3m9!1s0x144d7ddd18ae180d:0x831e4e60af514688!5m2!4m1!1i2!8m2!3d27.0590756!4d33.8951883!16s%2Fg%2F11sbxrvlg6!19sChIJDRiuGN19TRQRiEZRr2BOHoM?authuser=0&hl=en&rclk=1","Zen Resort by TBH Hotels","01033356587","459","4.0","https://tbhhotels.com/zen-sahl-hashish"," Azzura, Hurghada 1, Red Sea Governorate ","N/A","resort"
"https://www.google.com/maps/place/M%C3%B6venpick+El+Gouna/data=!4m10!3m9!1s0x145287b534bf964d:0x838fc78ea358cc13!5m2!4m1!1i2!8m2!3d27.3950868!4d33.6855238!16s%2Fg%2F1hjhd3___!19sChIJTZa_NLWHUhQRE8xYo47Hj4M?authuser=0&hl=en&rclk=1","Mövenpick El Gouna","0653544501","6","4.5","https://movenpick.accor.com/en/africa/egypt/el-gouna/resort-el-gouna.html?merchantid=seo-maps-EG-B4L7&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&utm_content=El-Gouna"," Hurghada 2, Red Sea Governorate 84511 ","N/A","resort"
